591 351 903 394 465 140 754 186 501 393 600 502 827 -444 1030 -435 764 -561 948 -439 782 -1005 892 -1050 
585 127 811 27 469 42 707 -100 501 103 531 98 736 -528 924 -514 762 -1064 971 -928 824 -1600 991 -1540 
679 144 886 121 583 -26 776 -64 547 58 549 82 824 -553 1045 -535 852 -1102 1060 -1007 909 -1602 1092 -1551 
727 114 900 69 600 7 782 -44 569 69 554 87 857 -554 1046 -537 844 -985 1075 -905 916 -1501 1087 -1483 
784 107 976 110 629 -10 785 -32 617 54 558 72 952 -552 1127 -542 841 -706 1105 -768 911 -1152 1059 -1132 
693 88 885 83 602 -18 838 -24 617 67 654 83 844 -561 1019 -536 837 -879 1104 -849 897 -1392 1043 -1361 
686 51 886 62 589 -27 833 -29 617 71 655 80 841 -581 1019 -553 853 -1054 1081 -980 921 -1528 1074 -1479 
678 64 812 34 603 -4 811 -4 611 71 668 88 808 -572 953 -544 849 -971 1036 -907 909 -1439 1060 -1416 
691 81 830 44 597 4 779 0 609 71 664 85 829 -536 970 -502 863 -825 1019 -732 903 -1241 1024 -1195 
690 70 829 42 593 7 760 4 604 65 654 82 831 -535 974 -502 860 -788 1014 -678 901 -1194 1009 -1147 
690 58 833 60 592 6 745 17 610 54 597 88 834 -532 982 -492 863 -800 1019 -679 902 -1203 1014 -1146 
712 50 831 48 610 2 726 20 614 53 598 88 853 -530 985 -492 862 -774 1003 -656 901 -1156 996 -1114 
730 53 835 45 623 2 728 17 618 55 598 78 885 -522 986 -489 860 -565 994 -472 899 -889 962 -832 
722 57 834 48 617 3 733 18 620 50 619 77 872 -499 979 -463 859 -637 993 -528 896 -994 965 -939 
720 60 794 27 631 16 725 18 639 55 616 80 856 -497 934 -466 854 -611 953 -528 895 -943 963 -900 
692 64 784 28 628 15 723 11 658 54 615 72 827 -484 928 -462 853 -746 959 -634 900 -1112 977 -1076 
687 54 794 13 625 12 725 -11 650 44 608 51 828 -487 939 -463 844 -898 964 -792 915 -1252 1013 -1212 
599 55 657 7 625 24 672 0 646 55 582 58 722 -435 782 -440 796 -671 853 -589 828 -984 918 -948 
378 0 542 2 427 -1 648 72 450 54 459 75 536 -432 669 -414 593 -685 732 -638 638 -1025 803 -1049 
91 339 160 340 283 84 290 143 480 54 418 117 312 -256 361 -225 501 -445 548 -421 598 -776 680 -789 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
297 85 197 181 315 430 157 461 343 656 75 665 546 547 450 608 579 872 465 837 716 1178 639 1206 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
253 28 184 87 357 70 253 167 383 82 323 166 310 314 249 359 239 614 224 614 207 818 291 829 
283 28 216 90 299 -34 244 144 286 -68 248 167 327 328 276 362 314 576 267 580 309 738 300 765 
282 64 278 96 299 107 301 179 320 125 255 187 332 377 320 390 313 584 286 595 278 688 304 751 
264 40 286 14 306 74 309 60 330 89 283 58 265 158 303 145 286 442 328 420 258 698 374 696 
258 64 270 32 309 73 271 60 334 59 258 42 256 142 302 137 275 435 336 410 214 702 412 684 
258 82 291 43 306 108 300 88 341 147 325 77 266 155 325 164 274 422 324 404 194 684 365 663 
295 73 274 62 308 98 296 99 339 206 321 216 297 197 287 196 307 464 318 438 241 674 273 689 
295 68 290 59 310 122 309 143 330 269 321 276 300 233 283 218 304 465 308 447 249 656 262 657 
308 37 309 37 321 125 319 142 333 252 308 264 314 287 306 281 314 474 304 460 294 664 271 654 
276 38 373 32 228 150 375 134 256 233 348 250 272 280 328 279 311 463 326 462 291 622 297 667 
266 50 377 32 228 161 381 128 244 236 383 245 257 260 333 247 286 432 333 450 277 617 304 663 
268 82 368 45 241 184 370 142 271 258 377 256 253 284 325 267 284 448 326 455 272 634 305 662 
290 110 353 80 252 206 337 170 278 280 366 267 258 305 305 297 281 467 323 471 273 642 306 663 
298 149 306 109 254 247 267 191 282 328 295 278 261 335 267 319 269 497 321 472 234 667 308 652 
303 152 281 111 269 255 228 185 291 330 239 277 256 328 244 317 266 493 308 461 237 643 276 631 
303 163 264 124 275 262 208 193 291 339 200 286 258 334 239 324 260 492 273 463 234 633 242 638 
303 181 249 135 281 275 198 200 308 356 177 292 259 346 227 332 249 499 261 466 216 636 223 636 
304 187 227 144 287 282 176 216 311 356 164 299 259 345 218 331 252 496 232 472 212 636 199 634 
304 188 206 148 294 280 162 228 314 354 159 304 259 348 206 340 250 495 210 474 219 621 187 617 
303 184 187 151 294 278 151 237 313 349 153 310 258 359 196 352 239 504 195 489 207 628 169 626 
296 177 170 155 293 270 137 245 312 341 140 313 255 360 187 354 242 504 186 495 214 632 172 635 
287 175 160 160 293 266 130 250 310 336 135 319 254 363 183 359 247 505 176 501 223 636 172 636 
280 174 152 163 293 264 124 252 307 333 133 324 254 361 182 361 256 505 177 504 240 637 172 638 
276 173 149 168 293 263 125 256 301 333 134 329 255 360 184 362 256 504 178 501 245 638 172 636 
278 175 158 171 295 265 136 259 296 337 129 338 255 357 183 357 256 503 181 500 247 637 171 638 
282 177 169 175 307 270 144 265 297 343 128 341 256 363 186 360 256 505 182 502 245 638 175 640 
298 183 175 176 316 276 149 267 300 351 130 342 259 368 188 362 256 510 182 502 244 642 172 641 
310 190 185 177 325 282 157 265 306 354 138 340 261 372 190 363 253 513 180 502 242 650 173 642 
317 199 197 180 329 287 168 264 311 357 140 339 263 377 192 365 253 515 180 506 238 652 173 646 
321 205 204 181 332 290 176 265 313 353 145 336 264 379 192 365 253 518 181 505 238 654 175 641 
321 211 208 185 335 291 177 265 316 336 147 334 265 378 193 364 254 519 183 505 238 654 176 634 
319 214 208 187 334 299 176 263 317 297 148 321 265 379 194 366 254 518 184 504 236 654 177 632 
317 212 207 190 336 294 173 268 306 228 149 318 263 378 194 366 254 518 184 504 236 653 178 627 
316 209 205 189 334 293 170 268 298 208 149 318 262 377 194 365 254 517 185 501 234 649 174 624 
312 210 204 190 332 288 170 267 289 204 149 318 260 377 194 366 254 517 185 498 235 646 171 618 
306 209 202 191 324 283 170 270 279 201 149 332 258 377 193 365 253 517 185 498 235 644 172 620 
305 210 202 192 320 281 170 272 277 201 149 341 257 377 193 366 253 516 186 498 235 642 176 615 
304 210 201 193 317 280 169 274 276 202 147 345 257 377 193 366 252 514 186 498 235 638 175 617 
309 213 202 193 317 282 170 275 278 206 147 348 257 379 192 367 251 515 186 500 235 639 175 619 
312 216 203 193 319 292 171 277 280 216 146 348 257 381 192 368 250 517 185 502 233 639 176 623 
312 217 204 194 327 304 173 279 292 244 147 346 257 382 193 370 250 517 185 502 233 639 183 619 
313 220 205 194 327 300 175 280 318 288 149 345 257 383 194 370 250 517 187 502 233 639 187 620 
313 221 205 195 325 298 176 279 343 322 150 344 257 382 194 370 250 516 189 499 232 638 188 620 
313 221 207 194 323 298 178 278 356 328 151 343 258 382 195 370 251 517 190 500 234 638 188 621 
315 220 208 194 322 298 179 278 355 333 153 343 259 382 196 370 252 517 189 500 234 638 188 624 
316 220 209 194 322 297 180 279 349 332 155 343 259 382 196 370 253 517 189 500 234 638 188 626 
317 220 209 194 322 296 180 278 345 330 157 343 260 382 197 370 254 517 190 500 234 640 189 627 
317 219 209 194 322 295 181 278 342 331 159 343 260 382 198 370 254 517 191 500 234 641 189 628 
318 217 210 193 323 289 181 278 340 331 159 343 261 380 198 369 254 516 191 500 234 640 189 629 
319 217 210 193 327 288 182 278 338 331 159 343 261 380 198 369 254 516 191 500 234 640 189 629 
322 216 210 193 333 288 182 278 334 333 159 343 263 381 199 369 254 517 191 502 235 640 189 629 
325 216 211 193 335 289 184 278 329 335 159 343 265 381 199 369 254 517 190 502 235 643 189 629 
328 215 213 193 337 290 185 278 325 337 160 343 267 381 200 369 255 519 188 502 235 646 189 626 
330 214 214 192 339 292 187 278 318 339 162 345 268 377 201 364 255 518 188 500 236 647 190 626 
330 212 214 188 341 292 186 276 315 339 163 345 269 372 202 359 255 516 189 498 237 647 189 626 
329 205 212 181 340 290 182 273 314 337 163 344 272 369 203 359 257 511 193 498 241 639 199 633 
326 188 202 173 339 278 174 265 315 336 158 344 274 363 204 357 260 509 197 499 242 640 200 635 
321 171 194 162 339 261 169 254 318 330 155 340 276 355 204 351 264 504 200 499 242 647 199 635 
317 159 187 150 338 250 166 238 324 323 154 321 279 349 204 346 273 496 201 497 247 638 204 634 
317 150 187 137 338 240 163 221 334 313 153 289 283 340 205 341 287 481 206 493 266 626 212 626 
320 144 190 130 340 236 163 216 340 311 149 277 289 337 207 339 288 486 205 493 278 633 209 639 
332 140 192 125 346 236 165 216 345 310 145 280 296 338 211 338 292 490 204 496 294 648 208 645 
351 135 211 123 362 236 179 217 354 311 144 289 300 335 216 330 297 491 204 495 295 648 211 645 
363 131 223 117 374 233 190 216 363 312 148 294 307 334 223 327 299 493 208 495 297 648 213 653 
374 128 232 110 379 230 202 214 369 313 175 296 311 331 227 323 301 493 210 494 296 648 218 653 
381 126 236 105 383 227 212 207 374 312 212 298 315 331 230 321 305 493 210 490 296 642 217 653 
380 125 242 105 387 224 211 210 376 311 197 300 317 331 232 320 305 492 213 490 295 640 218 651 
379 123 242 104 392 221 209 208 378 310 191 297 319 332 233 321 309 492 213 490 298 640 217 650 
375 124 239 103 388 221 205 201 376 309 177 287 318 331 234 322 310 493 216 492 301 642 218 656 
373 121 236 104 385 219 204 199 373 308 168 275 317 326 236 319 310 493 221 492 302 652 223 659 
369 117 232 106 384 218 203 201 366 307 158 266 316 329 235 327 311 496 219 502 304 657 225 658 
360 112 228 112 375 218 202 218 353 306 138 265 313 332 232 332 311 504 209 503 307 661 223 657 
338 111 220 121 357 213 197 229 337 303 124 271 298 333 220 335 311 505 187 503 306 660 197 652 
305 113 200 134 329 207 181 241 300 295 119 293 274 328 196 334 297 504 166 503 311 666 165 656 
283 114 176 144 302 210 161 250 271 291 106 310 254 331 177 341 284 505 156 508 309 666 164 655 
255 115 142 149 268 212 135 252 242 291 97 313 228 330 152 340 257 500 146 507 294 665 158 656 
241 120 124 152 255 218 116 249 232 293 88 310 219 331 141 344 239 497 135 500 268 665 150 655 
231 126 111 154 247 221 101 249 235 297 76 309 211 338 133 349 228 498 138 502 245 661 153 652 
233 134 103 152 246 230 89 248 238 304 65 310 207 341 129 347 224 498 138 496 228 656 156 643 
234 142 98 150 249 238 81 247 242 311 60 310 203 345 124 347 225 501 138 497 229 659 158 645 
234 146 98 150 248 240 78 246 245 316 57 311 205 346 122 347 224 503 138 495 233 659 153 643 
233 155 99 149 244 249 73 237 246 326 56 311 199 346 120 346 225 502 139 495 229 660 151 643 
232 162 100 146 243 259 71 228 248 339 54 306 197 346 118 343 219 498 138 492 223 659 150 640 
229 168 100 146 241 263 68 224 247 346 50 294 196 344 118 338 219 492 140 489 222 652 152 636 
228 174 100 146 239 267 61 217 246 352 40 269 193 344 117 340 223 492 140 489 227 650 150 634 
225 176 101 146 237 269 53 210 245 355 29 255 189 345 116 341 220 487 141 487 228 647 149 630 
223 179 99 145 236 270 44 205 244 356 27 239 185 346 114 342 218 487 140 488 229 647 145 630 
222 179 96 145 237 271 39 203 245 355 32 231 185 346 114 344 219 488 141 494 228 647 145 635 
217 178 95 145 239 269 36 204 271 354 44 239 185 350 113 348 220 489 136 494 229 649 142 643 
213 176 95 141 245 267 45 203 308 333 86 246 185 350 111 348 218 490 130 495 229 649 141 646 
211 175 97 138 253 259 56 203 330 317 112 250 183 349 109 346 217 487 129 495 228 643 142 644 
211 174 97 137 260 254 68 204 336 312 117 251 182 349 107 346 212 487 126 495 224 643 142 645 
214 173 100 137 261 252 71 205 333 312 105 269 181 352 108 349 213 488 128 502 212 640 142 648 
219 173 103 136 262 252 72 206 321 315 77 294 181 352 108 345 204 487 124 496 197 636 133 642 
229 173 112 135 263 255 72 211 318 326 48 302 180 348 106 334 193 487 123 490 187 636 126 639 
236 173 114 134 263 261 70 215 302 341 34 304 180 348 105 335 192 487 116 490 191 637 117 639 
236 172 111 134 262 261 66 218 277 345 29 305 182 348 106 336 194 488 111 488 193 637 112 638 
226 160 92 135 253 249 57 226 261 339 27 311 182 346 104 336 193 490 104 488 192 638 98 633 
202 150 68 139 237 233 45 238 250 320 26 319 182 345 101 339 192 494 93 487 195 638 85 634 
178 139 48 146 221 218 34 246 244 300 25 332 182 343 101 341 192 499 96 488 207 644 87 647 
157 132 30 158 207 206 26 257 236 284 25 339 182 340 102 345 201 494 100 493 207 641 91 650 
137 129 11 169 197 200 19 264 228 277 24 348 181 335 102 349 206 492 99 491 209 646 83 644 
125 126 2 175 189 197 17 266 220 277 24 346 179 329 102 349 211 490 98 492 215 644 90 654 
119 124 -5 176 184 197 14 269 209 276 23 339 179 329 102 352 224 480 96 496 217 628 93 663 
116 124 -8 173 178 195 8 270 201 270 18 335 179 319 102 351 240 432 92 490 219 593 92 644 
115 125 -14 173 177 198 2 270 196 263 17 333 179 313 102 350 258 401 92 493 250 558 94 644 
115 127 -16 171 177 200 2 267 198 263 17 331 179 310 102 350 269 402 93 493 286 551 102 638 
114 128 -17 171 176 202 2 265 198 265 17 331 179 310 102 350 271 415 90 495 312 553 97 638 
117 128 -16 170 177 203 4 265 198 268 17 330 179 313 101 350 267 425 90 500 322 570 99 640 
122 128 -10 170 180 204 5 263 197 270 14 323 178 316 100 351 260 452 89 499 299 575 105 638 
123 128 -7 168 181 204 4 263 200 270 -3 321 176 318 98 351 242 472 90 499 285 597 99 643 
133 127 -4 165 186 207 0 262 202 277 8 325 176 319 97 348 217 479 90 499 231 628 99 642 
154 127 14 159 197 215 -27 221 207 291 -78 195 177 328 97 348 192 488 77 494 200 632 66 633 
166 128 28 151 206 216 -26 210 216 296 -119 203 179 334 97 347 189 494 76 496 199 634 67 634 
177 132 42 146 216 218 -23 214 222 295 -81 201 181 336 98 347 196 491 78 494 203 637 72 637 
194 137 55 146 229 222 11 215 232 295 -51 261 191 336 106 344 197 488 84 494 212 641 74 638 
216 142 82 141 246 228 56 222 249 303 18 297 202 335 119 341 220 494 95 494 237 647 76 643 
241 145 107 140 267 233 80 225 268 312 47 309 218 338 137 341 241 498 106 496 258 654 91 649 
267 147 134 142 287 236 107 227 287 316 70 309 235 338 154 335 245 496 120 493 256 654 94 649 
290 148 158 143 310 241 127 227 304 322 91 312 250 343 170 336 251 498 132 493 253 653 95 649 
308 152 176 143 328 246 147 228 318 325 117 311 262 346 182 336 255 498 152 489 252 650 130 633 
322 157 193 143 340 253 164 229 329 334 140 310 266 350 187 337 258 502 166 489 250 651 155 633 
323 161 196 144 342 256 171 233 332 336 148 316 271 356 193 343 258 506 185 494 253 650 188 633 
322 165 194 149 339 258 169 241 330 338 146 326 275 355 199 345 262 504 192 494 254 649 188 631 
315 166 189 152 334 255 160 246 329 334 138 328 276 355 202 347 267 503 197 494 256 647 186 631 
307 165 180 155 329 256 152 247 326 332 124 326 275 354 199 349 267 502 197 494 256 647 179 628 
301 166 174 158 323 258 148 248 324 335 118 326 274 354 198 350 267 502 196 495 255 646 181 631 
298 167 171 161 321 260 145 251 320 338 116 326 273 354 198 351 267 503 194 499 254 646 175 641 
297 167 172 164 319 260 147 251 320 338 116 327 273 353 197 351 267 504 196 499 253 646 181 642 
299 169 176 168 317 263 151 256 318 338 119 329 272 355 197 352 266 504 196 499 252 648 182 646 
304 171 180 170 320 264 156 263 317 339 134 337 272 358 199 354 266 506 196 501 250 650 181 647 
307 171 182 172 323 264 164 267 317 341 147 344 272 359 198 355 265 507 195 502 250 650 183 647 
308 171 186 174 325 264 172 270 316 343 157 344 272 359 198 355 265 508 194 503 249 650 186 646 
307 170 187 179 323 264 178 277 313 344 160 348 272 361 200 357 264 511 194 504 250 650 185 645 
296 163 186 184 317 262 179 285 313 344 163 358 271 361 202 359 262 513 193 504 251 650 187 645 
280 160 181 189 300 261 175 292 311 347 168 370 271 360 203 360 260 513 192 505 252 649 189 645 
261 159 169 195 288 261 175 295 310 346 191 363 271 360 205 365 259 513 193 508 256 649 196 648 
245 159 167 197 282 261 187 292 309 346 205 361 270 360 212 368 258 512 192 510 259 651 196 653 
232 159 166 197 277 259 210 290 309 346 232 367 271 359 222 369 260 513 196 510 258 661 209 652 
225 167 166 205 277 259 225 291 315 349 245 371 276 360 235 372 259 513 208 509 252 662 216 653 
225 172 169 209 279 261 231 293 321 354 252 379 279 364 245 377 246 513 227 513 243 665 232 656 
229 175 177 208 282 264 245 296 327 358 267 380 284 366 254 377 240 515 239 513 244 668 242 655 
235 177 191 211 289 271 255 304 332 363 273 384 287 367 262 380 225 516 248 514 231 666 248 656 
253 178 203 210 299 276 259 306 335 367 278 383 294 369 266 380 229 516 241 513 227 665 244 656 
272 177 218 209 308 277 260 306 334 368 278 383 302 368 270 379 233 510 234 505 228 664 240 654 
291 177 239 208 321 275 273 304 336 368 281 381 307 368 276 378 233 508 221 498 230 661 237 652 
310 177 258 208 331 275 285 302 335 368 283 380 308 368 280 378 236 508 221 497 235 662 234 649 
326 179 274 207 338 276 290 302 334 369 279 380 308 371 281 377 237 508 215 496 240 664 232 645 
345 183 288 208 345 278 296 302 334 370 282 380 311 372 283 377 230 504 215 493 240 660 219 639 
356 186 293 208 352 279 297 303 335 371 283 380 310 373 282 377 231 504 219 494 247 660 222 640 
363 192 296 209 356 281 295 304 336 370 282 380 308 378 279 378 230 510 229 504 247 660 228 647 
365 193 301 208 360 282 297 304 337 370 282 378 306 379 277 378 230 511 229 504 248 660 228 648 
367 194 298 209 359 287 294 303 337 371 279 378 306 378 276 378 233 510 228 504 248 660 229 649 
368 194 300 209 359 288 296 303 337 372 278 378 307 378 277 378 235 510 229 504 248 660 229 649 
360 193 294 208 356 289 293 303 338 373 277 378 306 379 276 379 235 512 222 505 247 660 228 646 
355 191 289 207 354 289 292 302 338 373 277 378 299 380 273 381 232 512 221 507 242 660 223 646 
329 187 271 202 349 288 286 301 337 373 273 378 296 380 264 381 231 512 200 506 242 660 213 646 
305 176 241 195 332 279 263 293 337 369 268 371 291 377 248 379 233 509 189 496 243 661 203 646 
301 160 217 182 328 265 241 284 335 363 244 365 288 363 233 365 236 504 184 497 244 660 201 647 
306 143 203 167 326 253 221 275 328 351 222 356 286 349 221 350 245 489 185 492 245 652 195 642 
309 138 190 151 328 243 182 254 328 338 182 348 286 338 206 337 260 486 167 488 250 651 179 637 
313 134 187 138 338 231 168 236 329 324 144 334 282 339 198 333 262 489 168 490 252 649 171 637 
313 130 182 128 340 224 155 220 329 317 119 316 278 336 197 328 262 490 175 486 252 656 168 638 
